CABANG,PROPINSI,NO ORDER,TANGGAL,SUMBER,SERIES,HARGA JUAL,DISKON,JENIS BAYAR
FKHC PURWODADI,JAWATENGAH,BTDPWI220400008,2022-05-30,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH SEMARANG,JAWATENGAH,BTDSMG220500343,2022-05-31,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH PEDURUNGAN,JAWATENGAH,BTDPDR220500106,2022-05-31,OFFLINE,VARIO 125,23650000,0,KREDIT
FKH SUKOHARJO,JAWATENGAH,BTDSKH220500059,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH CILACAP,JAWATENGAH,BTDCLP220500058,2022-05-31,OFFLINE,PCX160,32885000,0,KREDIT
FKH SUKOHARJO,JAWATENGAH,BTDSKH220400353,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH TEGALBARAT,JAWATENGAH,BTDTGB220500009,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH TONJONG,JAWATENGAH,BTDTJO220500007,2022-05-31,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH MAGELANG,JAWATENGAH,BTDMGL220500055,2022-05-31,OFFLINE,VARIO 125,24040000,0,KREDIT
FKH PAGUYANGAN,JAWATENGAH,BTDPGY220500006,2022-05-31,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500108,2022-05-31,OFFLINE,PCX160,32110000,500000,KREDIT
FKH BUMIAYU,JAWATENGAH,BTDBMA220500006,2022-05-31,OFFLINE,VARIO 125,23510000,0,KREDIT
FKH ARTERI,JAWATENGAH,BTDATR220500025,2022-05-31,OFFLINE,VARIO 125,23090000,0,KREDIT
FKH TEGALBARAT,JAWATENGAH,BTDTGB220500026,2022-05-31,OFFLINE,PCX160,35400000,0,KREDIT
FKH SUKOHARJO,JAWATENGAH,BTDSKH220500072,2022-05-30,OFFLINE,BEAT,18870000,100000,KREDIT
FKH ARTERI,JAWATENGAH,BTDATR220500052,2022-05-31,OFFLINE,VARIO 160,26800000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500113,2022-05-31,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH BULAKAMBA,JAWATENGAH,BTDBUL220500001,2022-05-31,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH PEDURUNGAN,JAWATENGAH,BTDPDR220500122,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500146,2022-05-31,OFFLINE,VARIO 125,23860000,200000,KREDIT
FKH ADIPALA,JAWATENGAH,BTDADP220400015,2022-05-31,OFFLINE,BEAT,19585000,0,KREDIT
FKH DEMAK,JAWATENGAH,BTDDMK220500079,2022-05-30,OFFLINE,VARIO 160,26800000,400000,KREDIT
FKH SUKOHARJO,JAWATENGAH,BTDSKH220500173,2022-05-30,OFFLINE,BEAT,18870000,0,KREDIT
FKH ADIWERNA,JAWATENGAH,BTDADW220500016,2022-05-31,OFFLINE,SUPRAX125,20300000,0,KREDIT
FKH SALATIGA,JAWATENGAH,BTDSLG220500145,2022-05-31,OFFLINE,VARIO 125,23860000,200000,KREDIT
FKH SOLO,JAWATENGAH,BTDSLO220500081,2022-05-30,OFFLINE,VARIO 125,23860000,0,KREDIT
FKH BUMIAYU,JAWATENGAH,BTDBMA220500012,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH PEDURUNGAN,JAWATENGAH,BTDPDR220500065,2022-05-30,OFFLINE,VARIO 125,23650000,0,KREDIT
FKH BULUS PESANTREN,JAWATENGAH,BTDBSP220500011,2022-05-31,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH SIDAREJA,JAWATENGAH,BTDSDR220500013,2022-05-31,OFFLINE,VARIO 125,23880000,0,KREDIT
FKH KARANGANYAR,JAWATENGAH,BTDKRA220500033,2022-05-31,OFFLINE,BEAT,18870000,0,KREDIT
FKH BERBAH,DAERAHISTIMEWAYOGYAK,BTDBER220500124,2022-05-31,OFFLINE,BEAT,18885000,0,KREDIT
FKH TENGARAN,JAWATENGAH,BTDTGA220400012,2022-05-31,ONLINE,BEAT,18870000,0,KREDIT
